seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
5,6,6477.0,-0.006961133521060363,2.0142823379596324,OPTIMAL,30,0,0,18,0
5,6,7740.0,-0.006961133521060363,2.0142823379596324,OPTIMAL,50,0,0,18,4
5,6,7777.0,0.06873305329474867,2.0142823379596324,OPTIMAL,73,0,0,13,0
5,6,7780.0,0.06873305329474867,2.0142823379596324,OPTIMAL,91,0,0,20,6
5,6,7782.0,0.1390142104705144,2.0142823379596324,OPTIMAL,108,0,0,11,1
5,6,7785.0,0.1390142104705144,2.0142823379596324,OPTIMAL,123,0,0,19,7
5,6,7787.0,0.2115461587430955,2.0142823379596324,OPTIMAL,139,0,0,10,0
5,6,7789.0,0.2115461587430955,2.0142823379596324,OPTIMAL,155,0,0,18,4
5,6,7791.0,0.29292167904380123,2.0142823379596324,OPTIMAL,174,0,0,12,3
5,6,7796.0,0.29292167904380123,2.0142823379596324,OPTIMAL,191,0,0,11,3
5,6,7798.0,0.3448915924151879,2.0142823379596324,OPTIMAL,210,0,0,13,5
5,6,7801.0,0.3448915924151879,2.0142823379596324,OPTIMAL,229,0,0,16,1
5,6,7802.0,0.41002339416896133,2.0142823379596324,OPTIMAL,244,0,0,6,1
5,6,7804.0,0.41002339416896133,2.0142823379596324,OPTIMAL,262,0,0,14,1
5,6,7806.0,0.42503097088942404,2.0142823379596324,OPTIMAL,277,0,0,16,5
5,6,7808.0,0.42503097088942404,2.0142823379596324,OPTIMAL,291,0,0,12,2
5,6,7810.0,0.44389086824157176,2.0142823379596324,OPTIMAL,304,0,0,8,3
5,6,7812.0,0.44389086824157176,2.0142823379596324,OPTIMAL,318,0,0,11,1
5,6,7813.0,0.5162959712487905,2.0142823379596324,OPTIMAL,330,0,0,7,0
5,6,7815.0,0.5162959712487905,2.0142823379596324,OPTIMAL,344,0,0,12,0
5,6,7816.0,0.5257471354157813,2.0142823379596324,OPTIMAL,358,0,0,7,1
5,6,7818.0,0.5257471354157813,2.0142823379596324,OPTIMAL,373,0,0,6,2
5,6,7820.0,0.5386141077391501,2.0142823379596324,OPTIMAL,386,0,0,9,0
5,6,7821.0,0.5386141077391501,2.0142823379596324,OPTIMAL,398,0,0,8,0
