seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
3,9,8462.0,-0.004951408930127575,3.494273158939387,TIME_LIMIT,56,0,0,33,0
3,9,10562.0,-0.004951408930127575,3.494273158939387,TIME_LIMIT,89,0,0,41,6
3,9,11099.0,0.03419274821032276,3.494273158939387,TIME_LIMIT,121,0,0,30,0
3,9,11708.0,0.03419274821032276,3.494273158939387,TIME_LIMIT,151,0,0,46,12
3,9,12390.0,0.06469009860850017,3.494273158939387,TIME_LIMIT,189,0,0,30,1
3,9,12892.0,0.06469009860850017,3.494273158939387,TIME_LIMIT,214,0,0,40,15
3,9,13603.0,0.09616035788864274,3.494273158939387,TIME_LIMIT,254,0,0,32,1
3,9,14235.0,0.09616035788864274,3.494273158939387,TIME_LIMIT,285,0,0,46,13
3,9,14824.0,0.13190219205590017,3.494273158939387,TIME_LIMIT,318,0,0,29,4
3,9,15492.0,0.13190219205590017,3.494273158939387,TIME_LIMIT,349,0,0,49,13
3,9,16224.0,0.16915915617320168,3.494273158939387,TIME_LIMIT,389,0,0,34,7
3,9,16875.0,0.16915915617320168,3.494273158939387,TIME_LIMIT,418,0,0,49,16
3,9,17541.0,0.20431248945912098,3.494273158939387,TIME_LIMIT,455,0,0,33,5
3,9,18054.0,0.20431248945912098,3.494273158939387,TIME_LIMIT,481,0,0,49,15
3,9,18750.0,0.23936917910657327,3.494273158939387,TIME_LIMIT,519,0,0,36,3
3,9,19420.0,0.23936917910657327,3.494273158939387,TIME_LIMIT,552,0,0,48,15
3,9,20144.0,0.2737423348099988,3.494273158939387,TIME_LIMIT,592,0,0,34,6
3,9,20731.0,0.2737423348099988,3.494273158939387,TIME_LIMIT,621,0,0,48,18
3,9,21523.0,0.31690163761884704,3.494273158939387,TIME_LIMIT,664,0,0,37,11
3,9,22103.0,0.31690163761884704,3.494273158939387,TIME_LIMIT,694,0,0,50,16
3,9,22874.0,0.3537746164151946,3.494273158939387,TIME_LIMIT,737,0,0,34,7
3,9,23457.0,0.3537746164151946,3.494273158939387,TIME_LIMIT,766,0,0,50,14
3,9,24252.0,0.36594063614638417,3.494273158939387,TIME_LIMIT,811,0,0,33,6
3,9,24783.0,0.36594063614638417,3.494273158939387,TIME_LIMIT,841,0,0,38,5
3,9,25385.0,0.3964204981274328,3.494273158939387,TIME_LIMIT,875,0,0,25,1
3,9,25944.0,0.3964204981274328,3.494273158939387,TIME_LIMIT,904,0,0,40,14
